films,scores,film_time,arrts,counties
南海十三郎,9.3,1997,"剧情,传记,爱情",中国香港
绿皮书,8.9,2019,"剧情,喜剧,传记,音乐","美国, 中国大陆"
小森林 夏秋篇,9.0,2014,剧情,日本
小森林 冬春篇,9.0,2015,剧情,日本
教父3,9.0,1990,"剧情,犯罪",美国
城南旧事,9.1,1983,剧情,中国大陆
阳光灿烂的日子,8.9,1995,"剧情,爱情","中国大陆, 中国香港"
情书,8.9,1995,"剧情,爱情",日本
我是山姆,9.0,2001,"剧情,家庭",美国
西西里的美丽传说,8.9,2000,"剧情,战争,情色","意大利, 美国"
禁闭岛,8.9,2010,"剧情,悬疑,惊悚",美国
甜蜜蜜,8.9,2015,"剧情,爱情",中国香港
蝴蝶效应,8.9,2004,"剧情,悬疑,科幻,惊悚","美国, 加拿大"
布达佩斯大饭店,8.9,2014,"剧情,喜剧,冒险","美国, 德国, 英国"
沉默的羔羊,8.9,1991,"剧情,犯罪,惊悚",美国
致命魔术,8.9,2006,"剧情,悬疑,惊悚","英国, 美国"
低俗小说,8.9,1994,"剧情,喜剧,犯罪",美国
上帝之城,9.0,2002,"犯罪,剧情","巴西, 法国"
请以你的名字呼唤我,8.9,2017,"剧情,爱情,同性","意大利, 法国, 巴西, 美国"
被嫌弃的松子的一生,8.9,2006,"剧情,歌舞",日本
心灵捕手,8.9,1997,剧情,美国
杀人回忆,8.9,2003,"剧情,动作,犯罪,悬疑,惊悚",韩国
入殓师,8.9,2021,剧情,日本
菊次郎的夏天,8.9,2020,"剧情,喜剧",日本
勇敢的心,8.9,1995,"动作,传记,剧情,历史,战争",美国
7号房的礼物,8.9,2013,"剧情,喜剧,家庭",韩国
第六感,8.9,1999,"剧情,悬疑,惊悚",美国
爱在日落黄昏时,8.9,2004,"剧情,爱情","美国, 法国"
可可西里,8.9,2004,"剧情,犯罪","中国大陆, 中国香港"
萤火之森,8.9,2011,"剧情,爱情,动画,奇幻",日本
牯岭街少年杀人事件,8.9,1991,"剧情,犯罪",中国台湾
一个叫欧维的男人决定去死,8.9,2015,剧情,瑞典
侧耳倾听,8.9,1995,"剧情,爱情,动画",日本
生活多美好,9.3,1946,"剧情,爱情,奇幻",美国
玛丽和马克思,8.9,2009,"剧情,喜剧,动画","澳大利亚, 美国"
新世界,8.9,2013,"剧情,犯罪",韩国
无间道(正序版),9.2,2006,"剧情,犯罪",中国香港
东京教父,9.0,2003,"剧情,喜剧,动画",日本
爱在午夜降临前,8.9,2013,"剧情,爱情","美国, 希腊"
喜剧之王,8.8,1999,"喜剧,剧情,爱情",中国香港
重庆森林,8.8,1994,"剧情,爱情",中国香港
寄生虫,8.8,2019,剧情,韩国
看不见的客人,8.8,2017,"剧情,犯罪,悬疑,惊悚",西班牙
你看起来好像很好吃,8.9,2010,"剧情,动画,儿童",日本
卢旺达饭店,8.9,2004,"剧情,传记,历史,战争","英国, 南非, 意大利, 美国"
绿里奇迹,8.9,1999,"犯罪,剧情,奇幻,悬疑",美国
七宗罪,8.8,1995,"剧情,犯罪,悬疑,惊悚",美国
东京物语,9.1,1953,"剧情,家庭",日本
致命ID,8.8,2003,"剧情,悬疑,惊悚",美国
纵横四海,8.8,1991,"剧情,喜剧,动作,犯罪",中国香港
蝙蝠侠：黑暗骑士崛起,8.8,2012,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
断背山,8.8,2005,"剧情,爱情,同性,家庭","美国, 加拿大"
告白,8.8,2010,"剧情,悬疑",日本
爱在黎明破晓前,8.8,1995,"剧情,爱情","美国, 奥地利, 瑞士"
牧马人,9.1,1982,"剧情,爱情",中国大陆
模仿游戏,8.8,2015,"剧情,传记,战争,同性","英国, 美国"
莫娣,9.1,2016,"剧情,传记,爱情","爱尔兰, 加拿大"
被解救的姜戈,8.8,2013,"剧情,动作,西部,冒险",美国
阳光姐妹淘,8.8,2011,"剧情,喜剧",韩国
大鱼,8.8,2003,"剧情,家庭,奇幻,冒险",美国
幸福终点站,8.8,2005,"喜剧,剧情,爱情",美国
黑镜：圣诞特别篇,9.1,2014,"剧情,科幻,惊悚",英国
我爱你,9.0,2011,"剧情,爱情",韩国
灿烂人生,9.4,2003,"剧情,爱情,家庭",意大利
盲井,8.9,2003,"犯罪,剧情","中国大陆, 德国, 中国香港"
末路狂花,8.9,1991,"犯罪,剧情,惊悚","美国, 英国, 法国"
达拉斯买家俱乐部,8.8,2013,"剧情,传记,同性",美国
海街日记,8.8,2015,"剧情,家庭",日本
荒蛮故事,8.8,2014,"剧情,喜剧,犯罪","阿根廷, 西班牙"
枪火,8.8,1999,"剧情,动作,犯罪",中国香港
隐藏人物,8.9,2016,"剧情,传记,历史",美国
沉静如海,9.2,2004,"剧情,爱情,战争","法国, 比利时"
房间,8.8,2015,"剧情,家庭","爱尔兰, 加拿大, 英国, 美国"
地球上的星星,8.9,2007,"剧情,儿童,家庭",印度
东邪西毒：终极版,8.8,2009,"剧情,动作,爱情","中国香港, 中国大陆, 中国台湾"
遥望南方的童年,9.4,2007,剧情,中国大陆
九品芝麻官,8.7,1994,"剧情,喜剧,古装","中国香港, 中国大陆"
花样年华,8.7,2000,"剧情,爱情",中国香港
赛德克·巴莱,8.8,2012,"剧情,历史,战争",中国台湾
岁月神偷,8.7,2010,"剧情,家庭","中国香港, 中国大陆"
剪刀手爱德华,8.7,1990,"剧情,奇幻,爱情",美国
小丑,8.7,2019,"剧情,犯罪,惊悚","美国, 加拿大"
天使爱美丽,8.7,2001,"剧情,喜剧,爱情","法国, 德国"
心迷宫,8.7,2015,"剧情,犯罪,悬疑",中国大陆
消失的爱人,8.7,2014,"剧情,犯罪,悬疑,惊悚",美国
罗生门,8.8,1950,"剧情,犯罪,悬疑",日本
控方证人,9.4,1982,"剧情,犯罪,悬疑","美国, 英国"
赛德克·巴莱(上)：太阳旗,8.9,2011,"剧情,历史,战争",中国台湾
无间道2,8.7,2003,"剧情,犯罪,惊悚",中国香港
三块广告牌,8.7,2018,"剧情,犯罪","英国, 美国"
小偷家族,8.7,2018,"剧情,犯罪,家庭",日本
大佛普拉斯,8.7,2017,"剧情,喜剧",中国台湾
傲慢与偏见,8.7,2005,"剧情,爱情","法国, 英国, 美国"
血战钢锯岭,8.7,2016,"剧情,传记,历史,战争","澳大利亚, 美国"
千钧一发,8.8,1997,"剧情,科幻,惊悚",美国
燃情岁月,8.8,1994,"剧情,爱情,战争,西部",美国
步履不停,8.8,2008,"剧情,家庭",日本
魂断蓝桥,8.8,1940,"剧情,爱情,战争",美国
恐怖直播,8.7,2013,"剧情,犯罪,悬疑",韩国
聚焦,8.8,2015,"剧情,传记",美国
记忆碎片,8.7,2000,"犯罪,剧情,悬疑,惊悚",美国
爆裂鼓手,8.7,2014,"剧情,音乐",美国
爱尔兰人,8.8,2019,"剧情,传记,犯罪",美国
千年女优,8.8,2001,"动画,剧情,爱情",日本
偷自行车的人,9.1,1948,"犯罪,剧情",意大利
勇士,8.9,2011,"剧情,运动,家庭",美国
一次别离,8.8,2012,"剧情,家庭","伊朗, 法国"
大红灯笼高高挂,8.7,1991,剧情,"中国大陆, 中国香港, 中国台湾"
遗愿清单,8.7,2007,"冒险,喜剧,剧情",美国
人工智能,8.7,2001,"剧情,科幻","美国, 英国"
大独裁者,9.2,1940,"喜剧,剧情,战争",美国
萤火虫之墓,8.7,1988,"动画,剧情,战争",日本
雨人,8.7,1988,剧情,美国
悲情城市,8.9,1989,"剧情,历史",中国台湾
我们俩,8.8,2006,剧情,中国大陆
血钻,8.7,2006,"剧情,惊悚,冒险","美国, 德国, 英国"
天堂回信,9.2,1992,"剧情,儿童",中国大陆
战争之王,8.7,2005,"剧情,犯罪","法国, 德国, 美国"
爱·回家,9.1,2002,"剧情,家庭",韩国
变脸,9.1,1995,剧情,"中国大陆, 中国香港"
比海更深,8.8,2016,"剧情,家庭",日本
色，戒,8.6,2007,"剧情,爱情,情色","中国台湾, 中国大陆, 美国, 中国香港"
悲惨世界,8.7,2013,"剧情,爱情,歌舞","英国, 美国"
梦之安魂曲,8.8,2000,剧情,美国
东邪西毒,8.6,1994,"剧情,动作,爱情,武侠,古装","中国香港, 中国台湾"
奇迹男孩,8.6,2018,"剧情,儿童,家庭","美国, 中国香港"
盲山,8.7,2007,"剧情,犯罪",中国大陆
英雄本色,8.6,2017,"剧情,动作,犯罪",中国香港
青蛇,8.6,1993,"剧情,爱情,奇幻,古装","中国香港, 中国大陆"
弱点,8.7,2009,"剧情,家庭,传记,运动",美国
黑天鹅,8.6,2010,"剧情,惊悚",美国
贫民窟的百万富翁,8.6,2009,"剧情,爱情",英国
真爱至上,8.6,2003,"喜剧,剧情,爱情","英国, 美国, 法国"
谁先爱上他的,8.6,2018,"剧情,喜剧,同性",中国台湾
浪潮,8.7,2008,"剧情,惊悚",德国
恋恋笔记本,8.6,2004,"剧情,爱情",美国
波西米亚狂想曲,8.6,2019,"剧情,传记,同性,音乐","英国, 美国"
阳光普照,8.6,2019,"剧情,犯罪,家庭",中国台湾
赛德克·巴莱(下)：彩虹桥,8.8,2011,"剧情,历史,战争",中国台湾
花束般的恋爱,8.6,2022,"剧情,爱情",日本
攻壳机动队2：无罪,9.2,2004,"剧情,科幻,动画",日本
海边的曼彻斯特,8.6,2017,"剧情,家庭",美国
横道世之介,8.8,2013,"剧情,爱情",日本
无耻混蛋,8.6,2009,"剧情,犯罪","德国, 美国"
朗读者,8.6,2008,"剧情,爱情","美国, 德国"
暗战,8.6,1999,"动作,剧情,犯罪",中国香港
四百击,8.9,1959,"犯罪,剧情",法国
百万美元宝贝,8.7,2004,"剧情,运动",美国
卡萨布兰卡,8.7,1943,"剧情,爱情,战争",美国
那山那人那狗,8.7,2001,"剧情,家庭",中国大陆
万箭穿心,8.6,2012,"剧情,家庭",中国大陆
廊桥遗梦,8.7,1995,"剧情,爱情",美国
猜火车,8.6,1996,"剧情,犯罪",英国
刺猬的优雅,8.8,2009,剧情,"法国, 意大利"
恐怖分子,8.9,1986,"剧情,犯罪",中国台湾
蝙蝠侠：侠影之谜,8.6,2005,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
洛城机密,8.8,1997,"剧情,犯罪,悬疑,惊悚",美国
伴我同行,8.9,1986,"剧情,儿童,冒险",美国
穿越时空的少女,8.6,2006,"剧情,爱情,科幻,动画",日本
82年生的金智英,8.6,2019,剧情,韩国
发条橙,8.6,1971,"犯罪,剧情,科幻","英国, 美国"
燃烧女子的肖像,8.7,2019,"剧情,爱情,同性",法国
地下,9.2,1995,"剧情,战争","南斯拉夫, 法国, 德国, 保加利亚, 捷克, 匈牙利, 英国, 美国"
你的名字。,8.5,2016,"剧情,爱情,动画",日本
叫我第一名,8.7,2008,"剧情,传记",美国
我们天上见,8.8,2010,"剧情,家庭",中国大陆
麦兜故事,8.6,2001,"剧情,喜剧,动画",中国香港
E.T.外星人,8.6,2002,"剧情,科幻",美国
复仇者联盟4：终局之战,8.5,2019,"剧情,动作,科幻,奇幻,冒险",美国
童年往事,8.9,1985,"剧情,传记,家庭",中国台湾
特工,8.7,2018,剧情,韩国
婚姻故事,8.6,2020,"剧情,爱情","英国, 美国"
初恋这件小事,8.5,2012,"剧情,喜剧,爱情",泰国
帝国的毁灭,8.9,2004,"剧情,传记,历史,战争","德国, 奥地利, 意大利"
1917,8.5,2020,"剧情,战争","美国, 英国, 印度, 西班牙, 加拿大, 中国大陆"
影武者,9.1,1980,"剧情,历史,战争","日本, 美国"
阿飞正传,8.5,2018,"犯罪,剧情,爱情",中国香港
隐入尘烟,8.5,2022,剧情,中国大陆
撞车,8.6,2004,"犯罪,剧情","美国, 德国, 澳大利亚"
恐怖游轮,8.5,2009,"剧情,悬疑,惊悚","英国, 澳大利亚"
血观音,8.5,2017,"剧情,悬疑",中国台湾
荒岛余生,8.6,2000,"冒险,剧情",美国
火星救援,8.5,2015,"剧情,科幻,冒险","英国, 美国, 匈牙利, 约旦"
坠入,8.8,2006,"剧情,喜剧,奇幻,冒险","美国, 南非, 印度"
超感猎杀：完结特别篇,9.2,2018,"剧情,科幻,同性",美国
钢的琴,8.5,2011,"剧情,喜剧",中国大陆
过年,8.9,1991,"剧情,家庭",中国大陆
战场上的快乐圣诞,8.8,1983,"剧情,战争,同性","英国, 日本, 新西兰"
燕尾蝶,8.7,1996,"犯罪,剧情",日本
八恶人,8.6,2015,"剧情,犯罪,西部",美国
奇爱博士,8.9,1964,"剧情,喜剧,战争","美国, 英国"
困在时间里的父亲,8.6,2021,剧情,"英国, 法国"
精武英雄,8.6,1994,"动作,剧情","中国香港, 中国大陆"
香水,8.5,2006,"剧情,犯罪,奇幻","德国, 法国, 西班牙, 美国, 比利时"
金福南杀人事件始末,8.6,2010,"剧情,犯罪,惊悚",韩国
恋恋风尘,8.7,1987,"剧情,爱情",中国台湾
完美陌生人,8.5,2018,"剧情,喜剧",意大利
海盗电台,8.6,2009,"剧情,喜剧,音乐","英国, 德国, 法国"
胭脂扣,8.5,1987,"剧情,爱情,奇幻",中国香港
网络谜踪,8.5,2018,"剧情,犯罪,悬疑,惊悚","美国, 俄罗斯"
误杀瞒天记,8.6,2022,"剧情,犯罪,悬疑",印度
家有喜事,8.5,1992,"剧情,喜剧,爱情,家庭",中国香港
公民凯恩,8.8,1941,"剧情,悬疑",美国
红高粱,8.5,1988,"剧情,历史,爱情,战争",中国大陆
赌神,8.5,1989,"喜剧,剧情",中国香港
小姐,8.5,2016,"剧情,悬疑,情色,同性",韩国
如父如子,8.7,2013,"剧情,家庭",日本
白日梦想家,8.5,2013,"剧情,喜剧,冒险","美国, 英国"
大卫·戈尔的一生,8.6,2003,"剧情,犯罪,悬疑","美国, 德国, 英国, 西班牙"
沙漠之花,8.8,2009,"剧情,传记","英国, 德国, 奥地利, 法国"
角斗士,8.6,2000,"剧情,动作,冒险","美国, 英国, 马耳他, 摩洛哥"
荒野生存,8.6,2007,"冒险,传记,剧情",美国
碧海蓝天,8.7,1988,"剧情,爱情","法国, 意大利"
极速风流,8.7,2015,"剧情,传记,运动","英国, 德国, 美国"
女人，四十,8.9,1995,"剧情,家庭",中国香港
黄海,8.5,2010,"剧情,动作,犯罪","韩国, 美国, 中国香港"
天水围的日与夜,8.6,2008,"剧情,家庭",中国香港
哪吒之魔童降世,8.4,2019,"剧情,喜剧,动画,奇幻",中国大陆
阿郎的故事,8.6,1989,"剧情,家庭",中国香港
至暗时刻,8.5,2017,"剧情,传记,历史,战争","英国, 美国"
乱,8.9,1985,"剧情,动作","日本, 法国"
这个男人来自地球,8.5,2007,"剧情,科幻",美国
赎罪,8.5,2008,"剧情,悬疑,爱情,战争","英国, 法国"
笑傲江湖2：东方不败,8.5,1992,"剧情,爱情,武侠,古装",中国香港
阮玲玉,8.6,1991,"传记,剧情,爱情",中国香港
开心家族,8.6,2011,"剧情,喜剧,家庭",韩国
相助,8.8,2011,剧情,"美国, 印度, 阿联酋"
土拨鼠之日,8.6,1993,"剧情,喜剧,爱情,奇幻",美国
跳出我天地,8.8,2000,"剧情,儿童,歌舞,家庭","英国, 法国"
莫里斯,8.9,1987,"剧情,爱情,同性",英国
美国丽人,8.5,1999,"剧情,爱情,家庭",美国
伦敦一家人,8.9,2016,"剧情,动画,家庭",英国
我能说,8.8,2017,"剧情,喜剧",韩国
与狼共舞,8.9,1990,"剧情,西部,冒险","美国, 英国"
多哥,8.8,2019,"剧情,冒险",美国
风声,8.4,2009,"犯罪,剧情,惊悚,战争",中国大陆
狼的孩子雨和雪,8.7,2012,"剧情,动画,奇幻,家庭",日本
切腹,9.4,1962,"剧情,动作,悬疑",日本
我在伊朗长大,8.7,2007,"剧情,传记,动画","法国, 美国"
亲爱的,8.4,2014,"剧情,家庭","中国大陆, 中国香港"
共同警备区,8.8,2000,剧情,韩国
爱乐之城,8.4,2017,"剧情,爱情,歌舞",美国
蓝风筝,8.8,1993,"剧情,历史","中国大陆, 中国香港"
卧虎藏龙,8.4,2000,"剧情,爱情,武侠","中国台湾, 中国香港, 美国, 中国大陆"
蓝色大门,8.4,2002,"剧情,爱情,同性","中国台湾, 法国"
斯隆女士,8.8,2016,"剧情,悬疑","美国, 法国"
英国病人,8.5,1996,"爱情,剧情,战争","美国, 英国"
月球,8.5,2009,"剧情,科幻,悬疑","英国, 美国"
敦刻尔克,8.4,2017,"剧情,历史,战争","英国, 法国, 美国, 荷兰"
十二公民,8.4,2015,剧情,中国大陆
哪啊哪啊神去村,8.6,2014,"剧情,喜剧",日本
三毛从军记,8.6,1992,"剧情,儿童,喜剧,战争",中国大陆
国王的演讲,8.4,2012,"剧情,传记,历史","英国, 澳大利亚, 美国"
蓝白红三部曲之红,8.7,1994,"剧情,爱情,悬疑","法国, 波兰, 瑞士"
神女,9.1,1934,剧情,中国大陆
洞,9.2,1960,"犯罪,剧情,惊悚","法国, 意大利"
时时刻刻,8.6,2002,"剧情,传记","美国, 英国"
暖暖内含光,8.5,2004,"剧情,爱情,科幻",美国
花火,8.7,1997,"剧情,爱情,犯罪,惊悚",日本
蓝宇,8.4,2001,"剧情,爱情,同性","中国大陆, 中国香港"
小武,8.5,1998,剧情,"中国香港, 中国大陆"
神探夏洛克：最后的誓言,9.0,2014,"剧情,犯罪,悬疑",英国
极速车王,8.5,2020,"剧情,传记,运动",美国
至爱梵高·星空之谜,8.5,2017,"剧情,传记,动画","英国, 波兰"
大空头,8.5,2015,"剧情,传记",美国
小萝莉的猴神大叔,8.4,2018,"剧情,喜剧,动作",印度
少年时代,8.5,2014,"剧情,家庭",美国
她,8.4,2013,"剧情,爱情,科幻",美国
穆赫兰道,8.4,2001,"剧情,悬疑,惊悚","法国, 美国"
不一样的天空,8.6,1993,"剧情,爱情,家庭",美国
假如爱有天意,8.4,2003,"剧情,爱情",韩国
一级恐惧,8.5,1996,"剧情,犯罪,悬疑",美国
中央车站,8.7,1998,剧情,"巴西, 法国"
有话好好说,8.4,1997,"剧情,喜剧",中国大陆
岁月的童话,8.6,1991,"剧情,爱情,动画",日本
出租车司机,8.5,1976,"剧情,犯罪",美国
再见列宁,8.8,2003,"剧情,喜剧",德国
驴得水,8.3,2016,"剧情,喜剧",中国大陆
全金属外壳,8.6,1987,"剧情,战争","英国, 美国"
黑社会,8.4,2005,"犯罪,剧情,惊悚",中国香港
黑水,8.6,2019,剧情,美国
堕落天使,8.4,1995,"喜剧,犯罪,剧情,爱情",中国香港
光荣之路,9.1,1957,"剧情,战争",美国
费城故事,8.7,1993,"剧情,同性",美国
金陵十三钗,8.3,2011,"剧情,历史,战争","中国大陆, 中国香港"
落叶归根,8.4,2007,"剧情,喜剧","中国大陆, 中国香港"
西游记之大圣归来,8.3,2015,"剧情,动画,奇幻",中国大陆
小城之春,8.7,1948,"剧情,爱情",中国大陆
烈日灼心,8.3,2015,"剧情,犯罪,悬疑",中国大陆
英雄本色2,8.4,1987,"剧情,动作,犯罪",中国香港
自闭历程,8.9,2010,"剧情,传记",美国
无人区,8.3,2013,"剧情,犯罪,西部",中国大陆
莫扎特传,8.7,1984,"剧情,传记,历史,音乐","美国, 法国, 捷克斯洛伐克, 意大利"
启示,8.7,2006,"动作,冒险,剧情",美国
万物理论,8.4,2014,"剧情,传记,爱情","英国, 日本"
雄狮少年,8.3,2021,"剧情,喜剧,动画",中国大陆
秋天的童话,8.5,1987,"剧情,爱情",中国香港
健听女孩,8.6,2021,"剧情,音乐","美国, 法国, 加拿大"
楢山节考,9.0,1983,"剧情,家庭",日本
独立时代,8.8,1994,剧情,中国台湾
卡罗尔,8.4,2015,"剧情,爱情,同性","英国, 美国"
蝴蝶,8.6,2002,"剧情,儿童,喜剧",法国
比利·林恩的中场战事,8.3,2016,"剧情,战争","美国, 英国, 中国大陆"
孙子从美国来,8.5,2012,"剧情,儿童,家庭",中国大陆
热天午后,8.7,1975,"剧情,喜剧,犯罪",美国
推手,8.4,1991,"剧情,家庭","中国台湾, 美国"
登堂入室,8.5,2012,"剧情,悬疑",法国
阿黛尔的生活,8.4,2013,"剧情,爱情,同性","法国, 比利时, 西班牙"
三峡好人,8.4,2006,"剧情,爱情",中国大陆
面子,8.8,2004,"剧情,喜剧,爱情,同性",美国
秒速5厘米,8.3,2007,"动画,剧情,爱情",日本
桃姐,8.3,2012,"剧情,家庭",中国香港
盗钥匙的方法,8.5,2012,"剧情,喜剧",日本
百鸟朝凤,8.3,2016,"剧情,音乐",中国大陆
追击者,8.4,2008,"犯罪,剧情,惊悚",韩国
太阳照常升起,8.3,2007,"剧情,奇幻",中国大陆
寻子遇仙记,9.2,1921,"剧情,喜剧,家庭",美国
Hello！树先生,8.3,2011,剧情,中国大陆
喋血双雄,8.5,1989,"动作,犯罪,剧情,惊悚",中国香港
银翼杀手2049,8.3,2017,"剧情,动作,科幻","美国, 英国, 加拿大, 匈牙利"
监狱风云,8.4,1987,"剧情,动作,犯罪",中国香港
天国王朝,8.6,2005,"剧情,历史,战争","英国, 德国, 西班牙, 摩洛哥, 美国, 意大利, 法国"
尼罗河上的惨案,8.5,1978,"剧情,犯罪,悬疑",英国
第九区,8.3,2009,"动作,剧情,科幻,惊悚","美国, 新西兰, 加拿大, 南非"
芬奇,8.4,2021,"剧情,科幻",美国
垫底辣妹,8.3,2016,"剧情,家庭",日本
安妮·霍尔,8.6,1977,"喜剧,剧情,爱情",美国
嫌疑人X的献身,8.4,2008,"犯罪,剧情,悬疑",日本
金刚狼3：殊死一战,8.3,2017,"剧情,动作,科幻",美国
导盲犬小Q,8.5,2004,剧情,日本
南极大冒险,8.7,2006,"剧情,冒险",美国
奇迹,8.8,2011,"剧情,家庭",日本
精英部队2：大敌当前,8.7,2011,"剧情,动作,犯罪,惊悚",巴西
孟买酒店,8.4,2018,"剧情,历史,惊悚","澳大利亚, 美国, 印度"
机器管家,8.6,1999,"剧情,喜剧,科幻","美国, 德国"
麻将,8.7,1996,"喜剧,剧情",中国台湾
天注定,8.3,2013,"剧情,犯罪","中国大陆, 日本, 法国"
僵尸新娘,8.3,2005,"剧情,动画,奇幻","美国, 英国"
东方快车谋杀案,8.5,1974,"剧情,犯罪,悬疑",英国
坏孩子的天空,8.6,1996,"剧情,犯罪,运动",日本
少年的你,8.2,2019,"剧情,爱情,犯罪","中国大陆, 中国香港"
兵临城下,8.4,2001,"剧情,历史,战争","爱尔兰, 英国, 法国, 德国, 美国"
蓝白红三部曲之蓝,8.5,1993,"剧情,爱情,音乐","法国, 波兰, 瑞士"
萨利机长,8.3,2016,"剧情,传记",美国
天若有情,8.4,1990,"动作,剧情,爱情",中国香港
自梳,8.6,1997,"剧情,爱情,同性",中国香港
魔术师,8.7,2010,"剧情,动画","法国, 英国"
