rank,name,score,release_date,types,regions
41,天堂电影院,9.2,2021,"剧情,爱情","意大利, 法国"
42,辩护人,9.2,2013,剧情,韩国
43,窃听风暴,9.2,2006,"剧情,悬疑",德国
44,穿条纹睡衣的男孩,9.2,2008,"剧情,战争","英国, 美国"
45,少年派的奇幻漂流,9.1,2012,"剧情,奇幻,冒险","美国, 中国台湾, 英国, 加拿大"
46,高山下的花环,9.5,1985,"剧情,战争",中国大陆
47,美国往事,9.2,1984,"犯罪,剧情","美国, 意大利"
48,小鞋子,9.2,1997,"剧情,儿童,家庭",伊朗
49,怦然心动,9.1,2010,"剧情,喜剧,爱情",美国
50,飞屋环游记,9.1,2009,"剧情,喜剧,动画,冒险",美国
51,何以为家,9.1,2019,剧情,"黎巴嫩, 美国, 法国, 塞浦路斯, 卡塔尔, 英国"
52,猫鼠游戏,9.1,2003,"传记,犯罪,剧情","美国, 加拿大"
53,罗马假日,9.1,1953,"喜剧,剧情,爱情",美国
54,闻香识女人,9.1,1992,剧情,美国
55,指环王1：护戒使者,9.1,2002,"剧情,动作,奇幻,冒险","新西兰, 美国"
56,七武士,9.3,1954,"动作,冒险,剧情",日本
57,美丽心灵,9.1,2001,"传记,剧情",美国
58,一一,9.1,2000,"剧情,爱情,家庭","中国台湾, 日本"
59,拯救大兵瑞恩,9.1,1998,"剧情,战争",美国
60,音乐之声,9.1,1965,"剧情,传记,爱情,歌舞",美国
61,两杆大烟枪,9.1,1998,"剧情,喜剧,犯罪",英国
62,横空出世,9.4,1999,"剧情,历史",中国大陆
63,飞越疯人院,9.1,1975,剧情,美国
64,我不是药神,9.0,2018,"剧情,喜剧",中国大陆
65,让子弹飞,9.0,2010,"剧情,喜剧,动作,西部","中国大陆, 中国香港"
66,芙蓉镇,9.2,1987,"剧情,爱情",中国大陆
67,狩猎,9.1,2012,剧情,"丹麦, 瑞典"
68,摔跤吧！爸爸,9.0,2017,"剧情,传记,运动,家庭",印度
69,春光乍泄,9.0,1997,"剧情,爱情,同性","中国香港, 日本, 韩国"
70,本杰明·巴顿奇事,9.0,2008,"剧情,爱情,奇幻",美国
71,城市之光,9.3,1931,"喜剧,剧情,爱情",美国
72,搏击俱乐部,9.0,1999,"剧情,动作,悬疑,惊悚","美国, 德国, 意大利"
73,无人知晓,9.1,2004,剧情,日本
74,忠犬八公物语,9.2,1987,剧情,日本
75,完美的世界,9.1,1993,"剧情,犯罪",美国
76,喜宴,9.0,1993,"剧情,喜剧,爱情,同性,家庭","中国台湾, 美国"
77,超脱,9.0,2011,剧情,美国
78,南海十三郎,9.3,1997,"剧情,传记,爱情",中国香港
79,绿皮书,8.9,2019,"剧情,喜剧,传记,音乐","美国, 中国大陆"
80,小森林 夏秋篇,9.0,2014,剧情,日本
81,小森林 冬春篇,9.0,2015,剧情,日本
82,教父3,9.0,1990,"剧情,犯罪",美国
83,城南旧事,9.1,1983,剧情,中国大陆
84,阳光灿烂的日子,8.9,1995,"剧情,爱情","中国大陆, 中国香港"
85,情书,8.9,1995,"剧情,爱情",日本
86,我是山姆,9.0,2001,"剧情,家庭",美国
87,西西里的美丽传说,8.9,2000,"剧情,战争,情色","意大利, 美国"
88,禁闭岛,8.9,2010,"剧情,悬疑,惊悚",美国
89,甜蜜蜜,8.9,2015,"剧情,爱情",中国香港
90,蝴蝶效应,8.9,2004,"剧情,悬疑,科幻,惊悚","美国, 加拿大"
91,布达佩斯大饭店,8.9,2014,"剧情,喜剧,冒险","美国, 德国, 英国"
92,沉默的羔羊,8.9,1991,"剧情,犯罪,惊悚",美国
93,致命魔术,8.9,2006,"剧情,悬疑,惊悚","英国, 美国"
94,低俗小说,8.9,1994,"剧情,喜剧,犯罪",美国
95,上帝之城,9.0,2002,"犯罪,剧情","巴西, 法国"
96,请以你的名字呼唤我,8.9,2017,"剧情,爱情,同性","意大利, 法国, 巴西, 美国"
97,被嫌弃的松子的一生,8.9,2006,"剧情,歌舞",日本
98,心灵捕手,8.9,1997,剧情,美国
99,杀人回忆,8.9,2003,"剧情,动作,犯罪,悬疑,惊悚",韩国
100,入殓师,8.9,2021,剧情,日本
101,菊次郎的夏天,8.9,2020,"剧情,喜剧",日本
102,勇敢的心,8.9,1995,"动作,传记,剧情,历史,战争",美国
103,7号房的礼物,8.9,2013,"剧情,喜剧,家庭",韩国
104,第六感,8.9,1999,"剧情,悬疑,惊悚",美国
105,爱在日落黄昏时,8.9,2004,"剧情,爱情","美国, 法国"
106,可可西里,8.9,2004,"剧情,犯罪","中国大陆, 中国香港"
107,萤火之森,8.9,2011,"剧情,爱情,动画,奇幻",日本
108,牯岭街少年杀人事件,8.9,1991,"剧情,犯罪",中国台湾
109,一个叫欧维的男人决定去死,8.9,2015,剧情,瑞典
110,侧耳倾听,8.9,1995,"剧情,爱情,动画",日本
111,生活多美好,9.3,1946,"剧情,爱情,奇幻",美国
112,玛丽和马克思,8.9,2009,"剧情,喜剧,动画","澳大利亚, 美国"
113,新世界,8.9,2013,"剧情,犯罪",韩国
114,无间道(正序版),9.2,2006,"剧情,犯罪",中国香港
115,东京教父,9.0,2003,"剧情,喜剧,动画",日本
116,爱在午夜降临前,8.9,2013,"剧情,爱情","美国, 希腊"
117,喜剧之王,8.8,1999,"喜剧,剧情,爱情",中国香港
118,重庆森林,8.8,1994,"剧情,爱情",中国香港
119,寄生虫,8.8,2019,剧情,韩国
120,看不见的客人,8.8,2017,"剧情,犯罪,悬疑,惊悚",西班牙
121,你看起来好像很好吃,8.9,2010,"剧情,动画,儿童",日本
122,卢旺达饭店,8.9,2004,"剧情,传记,历史,战争","英国, 南非, 意大利, 美国"
123,绿里奇迹,8.9,1999,"犯罪,剧情,奇幻,悬疑",美国
124,七宗罪,8.8,1995,"剧情,犯罪,悬疑,惊悚",美国
125,东京物语,9.1,1953,"剧情,家庭",日本
126,致命ID,8.8,2003,"剧情,悬疑,惊悚",美国
127,纵横四海,8.8,1991,"剧情,喜剧,动作,犯罪",中国香港
128,蝙蝠侠：黑暗骑士崛起,8.8,2012,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
129,断背山,8.8,2005,"剧情,爱情,同性,家庭","美国, 加拿大"
130,告白,8.8,2010,"剧情,悬疑",日本
131,爱在黎明破晓前,8.8,1995,"剧情,爱情","美国, 奥地利, 瑞士"
132,牧马人,9.1,1982,"剧情,爱情",中国大陆
133,模仿游戏,8.8,2015,"剧情,传记,战争,同性","英国, 美国"
134,莫娣,9.1,2016,"剧情,传记,爱情","爱尔兰, 加拿大"
135,被解救的姜戈,8.8,2013,"剧情,动作,西部,冒险",美国
136,阳光姐妹淘,8.8,2011,"剧情,喜剧",韩国
137,大鱼,8.8,2003,"剧情,家庭,奇幻,冒险",美国
138,幸福终点站,8.8,2005,"喜剧,剧情,爱情",美国
139,黑镜：圣诞特别篇,9.1,2014,"剧情,科幻,惊悚",英国
140,我爱你,9.0,2011,"剧情,爱情",韩国
141,灿烂人生,9.4,2003,"剧情,爱情,家庭",意大利
142,盲井,8.9,2003,"犯罪,剧情","中国大陆, 德国, 中国香港"
143,末路狂花,8.9,1991,"犯罪,剧情,惊悚","美国, 英国, 法国"
144,达拉斯买家俱乐部,8.8,2013,"剧情,传记,同性",美国
145,海街日记,8.8,2015,"剧情,家庭",日本
146,荒蛮故事,8.8,2014,"剧情,喜剧,犯罪","阿根廷, 西班牙"
147,枪火,8.8,1999,"剧情,动作,犯罪",中国香港
148,隐藏人物,8.9,2016,"剧情,传记,历史",美国
149,沉静如海,9.2,2004,"剧情,爱情,战争","法国, 比利时"
150,房间,8.8,2015,"剧情,家庭","爱尔兰, 加拿大, 英国, 美国"
151,地球上的星星,8.9,2007,"剧情,儿童,家庭",印度
152,东邪西毒：终极版,8.8,2009,"剧情,动作,爱情","中国香港, 中国大陆, 中国台湾"
153,遥望南方的童年,9.4,2007,剧情,中国大陆
154,九品芝麻官,8.7,1994,"剧情,喜剧,古装","中国香港, 中国大陆"
155,花样年华,8.7,2000,"剧情,爱情",中国香港
156,赛德克·巴莱,8.8,2012,"剧情,历史,战争",中国台湾
157,岁月神偷,8.7,2010,"剧情,家庭","中国香港, 中国大陆"
158,剪刀手爱德华,8.7,1990,"剧情,奇幻,爱情",美国
159,小丑,8.7,2019,"剧情,犯罪,惊悚","美国, 加拿大"
160,天使爱美丽,8.7,2001,"剧情,喜剧,爱情","法国, 德国"
161,心迷宫,8.7,2015,"剧情,犯罪,悬疑",中国大陆
162,消失的爱人,8.7,2014,"剧情,犯罪,悬疑,惊悚",美国
163,罗生门,8.8,1950,"剧情,犯罪,悬疑",日本
164,控方证人,9.4,1982,"剧情,犯罪,悬疑","美国, 英国"
165,赛德克·巴莱(上)：太阳旗,8.9,2011,"剧情,历史,战争",中国台湾
166,无间道2,8.7,2003,"剧情,犯罪,惊悚",中国香港
167,三块广告牌,8.7,2018,"剧情,犯罪","英国, 美国"
168,小偷家族,8.7,2018,"剧情,犯罪,家庭",日本
169,大佛普拉斯,8.7,2017,"剧情,喜剧",中国台湾
170,傲慢与偏见,8.7,2005,"剧情,爱情","法国, 英国, 美国"
171,血战钢锯岭,8.7,2016,"剧情,传记,历史,战争","澳大利亚, 美国"
172,千钧一发,8.8,1997,"剧情,科幻,惊悚",美国
173,燃情岁月,8.8,1994,"剧情,爱情,战争,西部",美国
174,步履不停,8.8,2008,"剧情,家庭",日本
175,魂断蓝桥,8.8,1940,"剧情,爱情,战争",美国
176,恐怖直播,8.7,2013,"剧情,犯罪,悬疑",韩国
177,聚焦,8.8,2015,"剧情,传记",美国
178,记忆碎片,8.7,2000,"犯罪,剧情,悬疑,惊悚",美国
179,爆裂鼓手,8.7,2014,"剧情,音乐",美国
180,爱尔兰人,8.8,2019,"剧情,传记,犯罪",美国
181,千年女优,8.8,2001,"动画,剧情,爱情",日本
182,偷自行车的人,9.1,1948,"犯罪,剧情",意大利
183,勇士,8.9,2011,"剧情,运动,家庭",美国
184,一次别离,8.8,2012,"剧情,家庭","伊朗, 法国"
185,大红灯笼高高挂,8.7,1991,剧情,"中国大陆, 中国香港, 中国台湾"
186,遗愿清单,8.7,2007,"冒险,喜剧,剧情",美国
187,人工智能,8.7,2001,"剧情,科幻","美国, 英国"
188,大独裁者,9.2,1940,"喜剧,剧情,战争",美国
189,萤火虫之墓,8.7,1988,"动画,剧情,战争",日本
190,雨人,8.7,1988,剧情,美国
191,悲情城市,8.9,1989,"剧情,历史",中国台湾
192,我们俩,8.8,2006,剧情,中国大陆
193,血钻,8.7,2006,"剧情,惊悚,冒险","美国, 德国, 英国"
194,天堂回信,9.2,1992,"剧情,儿童",中国大陆
195,战争之王,8.7,2005,"剧情,犯罪","法国, 德国, 美国"
196,爱·回家,9.1,2002,"剧情,家庭",韩国
197,变脸,9.1,1995,剧情,"中国大陆, 中国香港"
198,比海更深,8.8,2016,"剧情,家庭",日本
199,色，戒,8.6,2007,"剧情,爱情,情色","中国台湾, 中国大陆, 美国, 中国香港"
200,悲惨世界,8.7,2013,"剧情,爱情,歌舞","英国, 美国"
201,梦之安魂曲,8.8,2000,剧情,美国
202,东邪西毒,8.6,1994,"剧情,动作,爱情,武侠,古装","中国香港, 中国台湾"
203,奇迹男孩,8.6,2018,"剧情,儿童,家庭","美国, 中国香港"
204,盲山,8.7,2007,"剧情,犯罪",中国大陆
205,英雄本色,8.6,2017,"剧情,动作,犯罪",中国香港
206,青蛇,8.6,1993,"剧情,爱情,奇幻,古装","中国香港, 中国大陆"
207,弱点,8.7,2009,"剧情,家庭,传记,运动",美国
208,黑天鹅,8.6,2010,"剧情,惊悚",美国
209,贫民窟的百万富翁,8.6,2009,"剧情,爱情",英国
210,真爱至上,8.6,2003,"喜剧,剧情,爱情","英国, 美国, 法国"
211,谁先爱上他的,8.6,2018,"剧情,喜剧,同性",中国台湾
212,浪潮,8.7,2008,"剧情,惊悚",德国
213,恋恋笔记本,8.6,2004,"剧情,爱情",美国
214,波西米亚狂想曲,8.6,2019,"剧情,传记,同性,音乐","英国, 美国"
215,阳光普照,8.6,2019,"剧情,犯罪,家庭",中国台湾
216,赛德克·巴莱(下)：彩虹桥,8.8,2011,"剧情,历史,战争",中国台湾
217,花束般的恋爱,8.6,2022,"剧情,爱情",日本
218,攻壳机动队2：无罪,9.2,2004,"剧情,科幻,动画",日本
219,海边的曼彻斯特,8.6,2017,"剧情,家庭",美国
220,横道世之介,8.8,2013,"剧情,爱情",日本
221,无耻混蛋,8.6,2009,"剧情,犯罪","德国, 美国"
222,朗读者,8.6,2008,"剧情,爱情","美国, 德国"
223,暗战,8.6,1999,"动作,剧情,犯罪",中国香港
224,四百击,8.9,1959,"犯罪,剧情",法国
225,百万美元宝贝,8.7,2004,"剧情,运动",美国
226,卡萨布兰卡,8.7,1943,"剧情,爱情,战争",美国
227,那山那人那狗,8.7,2001,"剧情,家庭",中国大陆
228,万箭穿心,8.6,2012,"剧情,家庭",中国大陆
229,廊桥遗梦,8.7,1995,"剧情,爱情",美国
230,猜火车,8.6,1996,"剧情,犯罪",英国
231,刺猬的优雅,8.8,2009,剧情,"法国, 意大利"
232,恐怖分子,8.9,1986,"剧情,犯罪",中国台湾
233,蝙蝠侠：侠影之谜,8.6,2005,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
234,洛城机密,8.8,1997,"剧情,犯罪,悬疑,惊悚",美国
235,伴我同行,8.9,1986,"剧情,儿童,冒险",美国
236,穿越时空的少女,8.6,2006,"剧情,爱情,科幻,动画",日本
237,82年生的金智英,8.6,2019,剧情,韩国
238,发条橙,8.6,1971,"犯罪,剧情,科幻","英国, 美国"
239,燃烧女子的肖像,8.7,2019,"剧情,爱情,同性",法国
240,地下,9.2,1995,"剧情,战争","南斯拉夫, 法国, 德国, 保加利亚, 捷克, 匈牙利, 英国, 美国"
241,你的名字。,8.5,2016,"剧情,爱情,动画",日本
242,叫我第一名,8.7,2008,"剧情,传记",美国
243,我们天上见,8.8,2010,"剧情,家庭",中国大陆
244,麦兜故事,8.6,2001,"剧情,喜剧,动画",中国香港
245,E.T.外星人,8.6,2002,"剧情,科幻",美国
246,复仇者联盟4：终局之战,8.5,2019,"剧情,动作,科幻,奇幻,冒险",美国
247,童年往事,8.9,1985,"剧情,传记,家庭",中国台湾
248,特工,8.7,2018,剧情,韩国
249,婚姻故事,8.6,2020,"剧情,爱情","英国, 美国"
250,初恋这件小事,8.5,2012,"剧情,喜剧,爱情",泰国
251,帝国的毁灭,8.9,2004,"剧情,传记,历史,战争","德国, 奥地利, 意大利"
252,1917,8.5,2020,"剧情,战争","美国, 英国, 印度, 西班牙, 加拿大, 中国大陆"
253,影武者,9.1,1980,"剧情,历史,战争","日本, 美国"
254,阿飞正传,8.5,2018,"犯罪,剧情,爱情",中国香港
255,隐入尘烟,8.5,2022,剧情,中国大陆
256,撞车,8.6,2004,"犯罪,剧情","美国, 德国, 澳大利亚"
257,恐怖游轮,8.5,2009,"剧情,悬疑,惊悚","英国, 澳大利亚"
258,血观音,8.5,2017,"剧情,悬疑",中国台湾
259,荒岛余生,8.6,2000,"冒险,剧情",美国
260,火星救援,8.5,2015,"剧情,科幻,冒险","英国, 美国, 匈牙利, 约旦"
261,坠入,8.8,2006,"剧情,喜剧,奇幻,冒险","美国, 南非, 印度"
262,超感猎杀：完结特别篇,9.2,2018,"剧情,科幻,同性",美国
263,钢的琴,8.5,2011,"剧情,喜剧",中国大陆
264,过年,8.9,1991,"剧情,家庭",中国大陆
265,战场上的快乐圣诞,8.8,1983,"剧情,战争,同性","英国, 日本, 新西兰"
266,燕尾蝶,8.7,1996,"犯罪,剧情",日本
267,八恶人,8.6,2015,"剧情,犯罪,西部",美国
268,奇爱博士,8.9,1964,"剧情,喜剧,战争","美国, 英国"
269,困在时间里的父亲,8.6,2021,剧情,"英国, 法国"
270,精武英雄,8.6,1994,"动作,剧情","中国香港, 中国大陆"
271,香水,8.5,2006,"剧情,犯罪,奇幻","德国, 法国, 西班牙, 美国, 比利时"
272,金福南杀人事件始末,8.6,2010,"剧情,犯罪,惊悚",韩国
273,恋恋风尘,8.7,1987,"剧情,爱情",中国台湾
274,完美陌生人,8.5,2018,"剧情,喜剧",意大利
275,海盗电台,8.6,2009,"剧情,喜剧,音乐","英国, 德国, 法国"
276,胭脂扣,8.5,1987,"剧情,爱情,奇幻",中国香港
277,网络谜踪,8.5,2018,"剧情,犯罪,悬疑,惊悚","美国, 俄罗斯"
278,误杀瞒天记,8.6,2022,"剧情,犯罪,悬疑",印度
279,家有喜事,8.5,1992,"剧情,喜剧,爱情,家庭",中国香港
280,公民凯恩,8.8,1941,"剧情,悬疑",美国
281,红高粱,8.5,1988,"剧情,历史,爱情,战争",中国大陆
282,赌神,8.5,1989,"喜剧,剧情",中国香港
283,小姐,8.5,2016,"剧情,悬疑,情色,同性",韩国
284,如父如子,8.7,2013,"剧情,家庭",日本
285,白日梦想家,8.5,2013,"剧情,喜剧,冒险","美国, 英国"
286,大卫·戈尔的一生,8.6,2003,"剧情,犯罪,悬疑","美国, 德国, 英国, 西班牙"
287,沙漠之花,8.8,2009,"剧情,传记","英国, 德国, 奥地利, 法国"
288,角斗士,8.6,2000,"剧情,动作,冒险","美国, 英国, 马耳他, 摩洛哥"
289,荒野生存,8.6,2007,"冒险,传记,剧情",美国
290,碧海蓝天,8.7,1988,"剧情,爱情","法国, 意大利"
291,极速风流,8.7,2015,"剧情,传记,运动","英国, 德国, 美国"
292,女人，四十,8.9,1995,"剧情,家庭",中国香港
293,黄海,8.5,2010,"剧情,动作,犯罪","韩国, 美国, 中国香港"
294,天水围的日与夜,8.6,2008,"剧情,家庭",中国香港
295,哪吒之魔童降世,8.4,2019,"剧情,喜剧,动画,奇幻",中国大陆
296,阿郎的故事,8.6,1989,"剧情,家庭",中国香港
297,至暗时刻,8.5,2017,"剧情,传记,历史,战争","英国, 美国"
298,乱,8.9,1985,"剧情,动作","日本, 法国"
299,这个男人来自地球,8.5,2007,"剧情,科幻",美国
300,赎罪,8.5,2008,"剧情,悬疑,爱情,战争","英国, 法国"
301,笑傲江湖2：东方不败,8.5,1992,"剧情,爱情,武侠,古装",中国香港
302,阮玲玉,8.6,1991,"传记,剧情,爱情",中国香港
303,开心家族,8.6,2011,"剧情,喜剧,家庭",韩国
304,相助,8.8,2011,剧情,"美国, 印度, 阿联酋"
305,土拨鼠之日,8.6,1993,"剧情,喜剧,爱情,奇幻",美国
306,跳出我天地,8.8,2000,"剧情,儿童,歌舞,家庭","英国, 法国"
307,莫里斯,8.9,1987,"剧情,爱情,同性",英国
308,美国丽人,8.5,1999,"剧情,爱情,家庭",美国
309,伦敦一家人,8.9,2016,"剧情,动画,家庭",英国
310,我能说,8.8,2017,"剧情,喜剧",韩国
311,与狼共舞,8.9,1990,"剧情,西部,冒险","美国, 英国"
312,多哥,8.8,2019,"剧情,冒险",美国
313,风声,8.4,2009,"犯罪,剧情,惊悚,战争",中国大陆
314,狼的孩子雨和雪,8.7,2012,"剧情,动画,奇幻,家庭",日本
315,切腹,9.4,1962,"剧情,动作,悬疑",日本
316,我在伊朗长大,8.7,2007,"剧情,传记,动画","法国, 美国"
317,亲爱的,8.4,2014,"剧情,家庭","中国大陆, 中国香港"
318,共同警备区,8.8,2000,剧情,韩国
319,爱乐之城,8.4,2017,"剧情,爱情,歌舞",美国
320,蓝风筝,8.8,1993,"剧情,历史","中国大陆, 中国香港"
321,卧虎藏龙,8.4,2000,"剧情,爱情,武侠","中国台湾, 中国香港, 美国, 中国大陆"
322,蓝色大门,8.4,2002,"剧情,爱情,同性","中国台湾, 法国"
323,斯隆女士,8.8,2016,"剧情,悬疑","美国, 法国"
324,英国病人,8.5,1996,"爱情,剧情,战争","美国, 英国"
325,月球,8.5,2009,"剧情,科幻,悬疑","英国, 美国"
326,敦刻尔克,8.4,2017,"剧情,历史,战争","英国, 法国, 美国, 荷兰"
327,十二公民,8.4,2015,剧情,中国大陆
328,哪啊哪啊神去村,8.6,2014,"剧情,喜剧",日本
329,三毛从军记,8.6,1992,"剧情,儿童,喜剧,战争",中国大陆
330,国王的演讲,8.4,2012,"剧情,传记,历史","英国, 澳大利亚, 美国"
331,蓝白红三部曲之红,8.7,1994,"剧情,爱情,悬疑","法国, 波兰, 瑞士"
332,神女,9.1,1934,剧情,中国大陆
333,洞,9.2,1960,"犯罪,剧情,惊悚","法国, 意大利"
334,时时刻刻,8.6,2002,"剧情,传记","美国, 英国"
335,暖暖内含光,8.5,2004,"剧情,爱情,科幻",美国
336,花火,8.7,1997,"剧情,爱情,犯罪,惊悚",日本
337,蓝宇,8.4,2001,"剧情,爱情,同性","中国大陆, 中国香港"
338,小武,8.5,1998,剧情,"中国香港, 中国大陆"
339,神探夏洛克：最后的誓言,9.0,2014,"剧情,犯罪,悬疑",英国
340,极速车王,8.5,2020,"剧情,传记,运动",美国
341,至爱梵高·星空之谜,8.5,2017,"剧情,传记,动画","英国, 波兰"
342,大空头,8.5,2015,"剧情,传记",美国
343,小萝莉的猴神大叔,8.4,2018,"剧情,喜剧,动作",印度
344,少年时代,8.5,2014,"剧情,家庭",美国
345,她,8.4,2013,"剧情,爱情,科幻",美国
346,穆赫兰道,8.4,2001,"剧情,悬疑,惊悚","法国, 美国"
347,不一样的天空,8.6,1993,"剧情,爱情,家庭",美国
348,假如爱有天意,8.4,2003,"剧情,爱情",韩国
349,一级恐惧,8.5,1996,"剧情,犯罪,悬疑",美国
350,中央车站,8.7,1998,剧情,"巴西, 法国"
351,有话好好说,8.4,1997,"剧情,喜剧",中国大陆
352,岁月的童话,8.6,1991,"剧情,爱情,动画",日本
353,出租车司机,8.5,1976,"剧情,犯罪",美国
354,再见列宁,8.8,2003,"剧情,喜剧",德国
355,驴得水,8.3,2016,"剧情,喜剧",中国大陆
356,全金属外壳,8.6,1987,"剧情,战争","英国, 美国"
357,黑社会,8.4,2005,"犯罪,剧情,惊悚",中国香港
358,黑水,8.6,2019,剧情,美国
359,堕落天使,8.4,1995,"喜剧,犯罪,剧情,爱情",中国香港
360,光荣之路,9.1,1957,"剧情,战争",美国
361,费城故事,8.7,1993,"剧情,同性",美国
362,金陵十三钗,8.3,2011,"剧情,历史,战争","中国大陆, 中国香港"
363,落叶归根,8.4,2007,"剧情,喜剧","中国大陆, 中国香港"
364,西游记之大圣归来,8.3,2015,"剧情,动画,奇幻",中国大陆
365,小城之春,8.7,1948,"剧情,爱情",中国大陆
366,烈日灼心,8.3,2015,"剧情,犯罪,悬疑",中国大陆
367,英雄本色2,8.4,1987,"剧情,动作,犯罪",中国香港
368,自闭历程,8.9,2010,"剧情,传记",美国
369,无人区,8.3,2013,"剧情,犯罪,西部",中国大陆
370,莫扎特传,8.7,1984,"剧情,传记,历史,音乐","美国, 法国, 捷克斯洛伐克, 意大利"
371,启示,8.7,2006,"动作,冒险,剧情",美国
372,万物理论,8.4,2014,"剧情,传记,爱情","英国, 日本"
373,雄狮少年,8.3,2021,"剧情,喜剧,动画",中国大陆
374,秋天的童话,8.5,1987,"剧情,爱情",中国香港
375,健听女孩,8.6,2021,"剧情,音乐","美国, 法国, 加拿大"
376,楢山节考,9.0,1983,"剧情,家庭",日本
377,独立时代,8.8,1994,剧情,中国台湾
378,卡罗尔,8.4,2015,"剧情,爱情,同性","英国, 美国"
379,蝴蝶,8.6,2002,"剧情,儿童,喜剧",法国
380,比利·林恩的中场战事,8.3,2016,"剧情,战争","美国, 英国, 中国大陆"
381,孙子从美国来,8.5,2012,"剧情,儿童,家庭",中国大陆
382,热天午后,8.7,1975,"剧情,喜剧,犯罪",美国
383,推手,8.4,1991,"剧情,家庭","中国台湾, 美国"
384,登堂入室,8.5,2012,"剧情,悬疑",法国
385,阿黛尔的生活,8.4,2013,"剧情,爱情,同性","法国, 比利时, 西班牙"
386,三峡好人,8.4,2006,"剧情,爱情",中国大陆
387,面子,8.8,2004,"剧情,喜剧,爱情,同性",美国
388,秒速5厘米,8.3,2007,"动画,剧情,爱情",日本
389,桃姐,8.3,2012,"剧情,家庭",中国香港
390,盗钥匙的方法,8.5,2012,"剧情,喜剧",日本
391,百鸟朝凤,8.3,2016,"剧情,音乐",中国大陆
392,追击者,8.4,2008,"犯罪,剧情,惊悚",韩国
393,太阳照常升起,8.3,2007,"剧情,奇幻",中国大陆
394,寻子遇仙记,9.2,1921,"剧情,喜剧,家庭",美国
395,Hello！树先生,8.3,2011,剧情,中国大陆
396,喋血双雄,8.5,1989,"动作,犯罪,剧情,惊悚",中国香港
397,银翼杀手2049,8.3,2017,"剧情,动作,科幻","美国, 英国, 加拿大, 匈牙利"
398,监狱风云,8.4,1987,"剧情,动作,犯罪",中国香港
399,天国王朝,8.6,2005,"剧情,历史,战争","英国, 德国, 西班牙, 摩洛哥, 美国, 意大利, 法国"
400,尼罗河上的惨案,8.5,1978,"剧情,犯罪,悬疑",英国
401,第九区,8.3,2009,"动作,剧情,科幻,惊悚","美国, 新西兰, 加拿大, 南非"
